run_id,mode,broken_image_tag,t0_push_s,t1_degraded_s,t2_revert_push_s,t3_healthy_synced_s,t4_pods_ready_s,t5_http_first200_s,tiempo_deteccion_s,tiempo_recuperacion_post_revert_s,rollback_method,degraded_ok,recovery_ok,http_ok,notes
1,normal,broken-tag-1782602936,1782602936,1782602959,1782602959,1782602961,1782602961,1782602961,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
2,normal,broken-tag-1782602977,1782602978,1782603000,1782603000,1782603006,1782603006,1782603006,22,6,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
3,normal,broken-tag-1782603022,1782603023,1782603046,1782603046,1782603048,1782603048,1782603048,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
4,normal,broken-tag-1782603064,1782603065,1782603088,1782603088,1782603090,1782603090,1782603090,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
5,normal,broken-tag-1782603106,1782603106,1782603129,1782603129,1782603131,1782603131,1782603131,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
6,normal,broken-tag-1782603147,1782603147,1782603170,1782603170,1782603172,1782603172,1782603172,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
7,normal,broken-tag-1782603188,1782603189,1782603211,1782603211,1782603213,1782603213,1782603213,22,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
8,normal,broken-tag-1782603229,1782603230,1782603253,1782603253,1782603255,1782603255,1782603255,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
9,normal,broken-tag-1782603271,1782603272,1782603295,1782603295,1782603297,1782603297,1782603297,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
10,normal,broken-tag-1782603314,1782603314,1782603337,1782603337,1782603339,1782603339,1782603339,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
11,normal,broken-tag-1782603356,1782603356,1782603379,1782603379,1782603381,1782603381,1782603381,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
12,normal,broken-tag-1782603397,1782603397,1782603421,1782603421,1782603424,1782603424,1782603424,24,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
13,normal,broken-tag-1782603440,1782603441,1782603464,1782603464,1782603466,1782603466,1782603466,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
14,normal,broken-tag-1782603483,1782603483,1782603506,1782603506,1782603508,1782603508,1782603508,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
15,normal,broken-tag-1782603525,1782603525,1782603548,1782603548,1782603551,1782603551,1782603551,23,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
16,normal,broken-tag-1782603567,1782603567,1782603590,1782603590,1782603592,1782603592,1782603592,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
17,normal,broken-tag-1782603608,1782603609,1782603632,1782603632,1782603634,1782603634,1782603634,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
18,normal,broken-tag-1782603650,1782603651,1782603673,1782603673,1782603675,1782603675,1782603675,22,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
19,normal,broken-tag-1782603691,1782603692,1782603714,1782603714,1782603716,1782603716,1782603716,22,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
20,normal,broken-tag-1782603733,1782603733,1782603756,1782603756,1782603758,1782603758,1782603758,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
21,normal,broken-tag-1782603774,1782603774,1782603797,1782603797,1782603799,1782603799,1782603799,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
22,normal,broken-tag-1782603815,1782603816,1782603838,1782603838,1782603840,1782603840,1782603840,22,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
23,normal,broken-tag-1782603857,1782603857,1782603880,1782603880,1782603882,1782603882,1782603882,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
24,normal,broken-tag-1782603898,1782603899,1782603922,1782603922,1782603924,1782603925,1782603925,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
25,normal,broken-tag-1782603941,1782603941,1782603964,1782603964,1782603967,1782603967,1782603967,23,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
26,normal,broken-tag-1782603983,1782603983,1782604006,1782604006,1782604008,1782604008,1782604008,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
27,normal,broken-tag-1782604025,1782604025,1782604049,1782604049,1782604051,1782604051,1782604051,24,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
28,normal,broken-tag-1782604068,1782604068,1782604091,1782604091,1782604093,1782604094,1782604094,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
29,normal,broken-tag-1782604110,1782604110,1782604133,1782604133,1782604135,1782604135,1782604136,23,2,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
30,normal,broken-tag-1782604152,1782604152,1782604175,1782604175,1782604178,1782604178,1782604178,23,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
31,stress,broken-tag-1782604213,1782604213,1782604237,1782604237,1782604241,1782604241,1782604241,24,4,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
32,stress,broken-tag-1782604257,1782604258,1782604282,1782604282,1782604286,1782604286,1782604286,24,4,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
33,stress,broken-tag-1782604302,1782604303,1782604327,1782604327,1782604331,1782604331,1782604331,24,4,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
34,stress,broken-tag-1782604347,1782604348,1782604371,1782604371,1782604375,1782604375,1782604375,23,4,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
35,stress,broken-tag-1782604391,1782604391,1782604415,1782604415,1782604419,1782604419,1782604419,24,4,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
36,stress,broken-tag-1782604435,1782604435,1782604459,1782604459,1782604462,1782604462,1782604462,24,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
37,stress,broken-tag-1782604479,1782604479,1782604503,1782604503,1782604508,1782604508,1782604508,24,5,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
38,stress,broken-tag-1782604525,1782604525,1782604549,1782604549,1782604552,1782604552,1782604552,24,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
39,stress,broken-tag-1782604569,1782604569,1782604593,1782604593,1782604596,1782604596,1782604596,24,3,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
40,stress,broken-tag-1782604613,1782604613,1782604637,1782604637,1782604641,1782604641,1782604641,24,4,git_revert,true,true,true,"git push injection on shared repo; http_status_final=200"
